"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","isTarget","Common.Name","Biological.Process","IPR"
"XLOC_015581","LVA_018905",52.1971,7.0781,-2.88254,0.00015,"Down"," ",NA,NA,NA
"XLOC_015582","LVA_018906",25.7101,4.10289,-2.64762,5e-05,"Down"," ","Lv-Gi",NA,NA
"XLOC_015584","LVA_018908",25.6456,4.52775,-2.50185,0.00025,"Down"," ","Lv-Abat",NA,NA
"XLOC_015583","LVA_018907",20.243,4.16879,-2.27972,0.00035,"Down"," ",NA,NA,NA
"XLOC_002281","LVA_002632",40.0267,8.87063,-2.17385,5e-05,"Down"," ","Lv-Col18a1Lf","nucleosome assembly","Histone H2B"
"XLOC_015298","LVA_018551",171.728,41.6746,-2.04289,5e-05,"Down"," ","Lv-Napepld","nucleosome assembly","Histone H2B"
"XLOC_007646","LVA_009055",679.312,165.435,-2.03781,5e-05,"Down"," ","Lv-Sdt","nucleosome assembly","Histone H2B"
"XLOC_022111","LVA_027642",59.0121,14.855,-1.99006,5e-05,"Down"," ",NA,NA,NA
"XLOC_012404","LVA_014915",37.8068,149.588,1.98428,5e-05,"Up"," ","Lv-Mfn","proteolysis",NA
"XLOC_001772","LVA_002048",217.676,57.2436,-1.92699,5e-05,"Down","LVA_002048","Lv-AcheL_3","nucleosome assembly","Histone H2B"
"XLOC_009450","LVA_011185",100.389,26.6735,-1.91212,5e-05,"Down"," ","Lv-Sfrs6","nucleosome assembly","Histone H2B"
"XLOC_014640","LVA_017711",34.2509,9.39365,-1.86639,1e-04,"Down"," ","Lv-C10orf76L","DNA integration",NA
"XLOC_006367","LVA_007471",80.6442,23.5523,-1.7757,0.0255,"Down"," ","Lv-Kiaa0415L_1",NA,NA
"XLOC_018820","LVA_023051",239.155,70.6727,-1.75872,0.00015,"Down"," ",NA,NA,NA
"XLOC_001773","LVA_002049",30.3013,9.03282,-1.74613,0.001,"Down"," ","Lv-Selenbp1_1","nucleosome assembly",NA
"XLOC_002018","LVA_002333",11.0072,36.8478,1.74313,5e-05,"Up"," ","Lv-Hcfc2","proteolysis",NA
"XLOC_002283","LVA_002634",107.487,32.1096,-1.74308,5e-05,"Down"," ","Lv-Usp25","nucleosome assembly","Histone H3"
"XLOC_016106","LVA_019572",184.251,55.0799,-1.74208,5e-05,"Down"," ",NA,"nucleosome assembly",NA
"XLOC_000889","LVA_001053",10403.8,3180.51,-1.70978,0.00515,"Down"," ",NA,NA,NA
"XLOC_022017","LVA_027498",15.9652,4.88365,-1.7089,0.03765,"Down"," ",NA,NA,NA
"XLOC_003176","LVA_003684",13.9744,4.32113,-1.69331,0.0336,"Down"," ",NA,NA,NA
"XLOC_008445","LVA_009995",70.3549,21.8562,-1.68661,7e-04,"Down"," ","Lv-Wap/Ty/Egf",NA,NA
"XLOC_007647","LVA_009056",207.527,67.4116,-1.62223,5e-05,"Down"," ",NA,"nucleosome assembly",NA
"XLOC_019398","LVA_023827",55.7168,18.1211,-1.62044,0.00015,"Down"," ",NA,NA,NA
"XLOC_003962","LVA_004607",267.465,87.1255,-1.61818,1e-04,"Down"," ",NA,"nucleosome assembly","Histone H5"
"XLOC_003174","LVA_003682",14.6791,4.82508,-1.60514,0.01025,"Down"," ","Lv-Z94",NA,NA
"XLOC_021007","LVA_026018",275.821,90.7122,-1.60436,1e-04,"Down"," ",NA,NA,NA
"XLOC_019397","LVA_023826",67.5282,22.2374,-1.6025,0.00015,"Down"," ",NA,NA,NA
"XLOC_007288","LVA_008629",6.98298,21.138,1.59792,0.02785,"Up"," ",NA,NA,NA
"XLOC_009496","LVA_011239",103.323,34.3523,-1.58868,6e-04,"Down"," ","Lv-C4st","nucleosome assembly","Histone H3"
"XLOC_012949","LVA_015592",6.26701,2.11389,-1.56788,0.0157,"Down"," ","Lv-Papd5",NA,"Proteinase inhibitor I35, tissue inhibitor of metalloproteinase"
"XLOC_014824","LVA_017935",43.959,14.8291,-1.56772,0.0477,"Down"," ","Lv-Spire1",NA,NA
"XLOC_003639","LVA_004244",7.93738,2.68906,-1.56156,0.0035,"Down"," ","Lv-Nusap1L","lipid transport",NA
"XLOC_002282","LVA_002633",319.408,108.271,-1.56075,0.00035,"Down"," ",NA,"nucleosome assembly","Histone H4"
"XLOC_009495","LVA_011238",518.573,175.874,-1.56001,0.00065,"Down"," ","Lv-Ccdc62","nucleosome assembly","Histone H4"
"XLOC_019399","LVA_023828",41.96,14.4185,-1.54109,0.00015,"Down"," ",NA,NA,NA
"XLOC_001000","LVA_001182",356.288,122.676,-1.53819,0.00065,"Down"," ","Lv-Lrr1_1","nucleosome assembly","Histone H4"
"XLOC_000359","LVA_000418",8.63932,2.98528,-1.53305,0.00315,"Down"," ",NA,NA,NA
"XLOC_008444","LVA_009994",125.371,43.4772,-1.52787,8e-04,"Down"," ",NA,NA,NA
"XLOC_003177","LVA_003685",13.1868,4.67627,-1.49566,0.0461,"Down"," ",NA,NA,NA
"XLOC_010030","LVA_011916",109.584,39.095,-1.48699,0.00395,"Down"," ","Lv-Nedd8","lipid transport",NA
"XLOC_005475","LVA_006405",60.5959,169.754,1.48616,0.03935,"Up"," ","Lv-ThrombA1","metabolic process",NA
"XLOC_012520","LVA_015059",24.2282,8.66036,-1.48419,0.00015,"Down"," ","Lv-Nphp3",NA,NA
"XLOC_014964","LVA_018139",66.7038,24.1,-1.46874,0.00115,"Down"," ","Lv-Hypp_288","nucleosome assembly",NA
"XLOC_012066","LVA_014480",4.31433,11.8648,1.45948,0.04825,"Up"," ",NA,NA,NA
"XLOC_003179","LVA_003687",7.54739,2.76064,-1.45098,0.0076,"Down"," ","Lv-Tmem26",NA,"Protein of unknown function DUF1759"
"XLOC_021980","LVA_027447",83.734,227.7,1.44325,0.0247,"Up"," ",NA,NA,NA
"XLOC_004373","LVA_005073",2.67868,7.27458,1.44134,0.01635,"Up"," ",NA,NA,"Peptidase M76, ATP23"
"XLOC_000140","LVA_000141",2.01331,5.32445,1.40306,0.01845,"Up"," ",NA,NA,NA
"XLOC_000348","LVA_000407",136.385,51.812,-1.39632,0.00055,"Down"," ",NA,NA,NA
"XLOC_017043","LVA_020762",27.0971,10.3052,-1.39477,0.00255,"Down"," ","Lv-Xrn1_1","nucleotide catabolic process","5'-Nucleotidase/apyrase"
"XLOC_021086","LVA_026147",5.73173,2.21597,-1.37103,0.01935,"Down"," ",NA,NA,NA
"XLOC_002017","LVA_002332",17.4763,45.0225,1.36524,0.0043,"Up"," ","Lv-Hcfc2","proteolysis",NA
"XLOC_019175","LVA_023531",10.1805,3.98305,-1.35387,0.01935,"Down"," ",NA,NA,NA
"XLOC_020852","LVA_025797",8.48072,3.33341,-1.34719,0.0194,"Down"," ",NA,NA,NA
"XLOC_019787","LVA_024350",17.1164,6.7725,-1.33762,0.01175,"Down"," ",NA,NA,NA
"XLOC_000319","LVA_000368",11.0281,4.37366,-1.33427,0.0155,"Down"," ",NA,NA,NA
"XLOC_013905","LVA_016798",438.888,174.118,-1.33379,0.0099,"Down"," ",NA,NA,NA
"XLOC_012065","LVA_014479",9.88122,24.8786,1.33215,0.0434,"Up"," ",NA,NA,NA
"XLOC_013177","LVA_015886",2.53501,6.33605,1.32159,0.0451,"Up"," ",NA,NA,NA
"XLOC_001545","LVA_001782",13.7431,5.50225,-1.32062,0.01645,"Down"," ",NA,NA,NA
"XLOC_000643","LVA_000753",10.9167,4.41401,-1.30638,0.0027,"Down"," ",NA,NA,NA
"XLOC_003637","LVA_004243",358.547,145.279,-1.30334,0.00655,"Down"," ",NA,NA,NA
"XLOC_017474","LVA_021335",35.8857,14.5694,-1.30047,0.0014,"Down"," ",NA,NA,NA
"XLOC_021329","LVA_026477",4.53458,11.1666,1.30015,0.03365,"Up"," ",NA,NA,NA
"XLOC_004500","LVA_005226",11.0872,27.3018,1.3001,0.0021,"Up"," ",NA,NA,NA
"XLOC_011955","LVA_014348",5.51062,13.5606,1.29914,0.01335,"Up"," ",NA,NA,NA
"XLOC_014341","LVA_017346",1636.3,4017.39,1.29582,0.0476,"Up"," ",NA,NA,NA
"XLOC_003636","LVA_004242",360.431,147.318,-1.29079,0.00805,"Down"," ",NA,NA,NA
"XLOC_006051","LVA_007096",6.98447,2.85611,-1.2901,0.0025,"Down"," ",NA,NA,NA
"XLOC_002516","LVA_002905",16.8509,41.1833,1.28923,0.00175,"Up"," ",NA,NA,NA
"XLOC_000940","LVA_001114",6.99436,2.86485,-1.28773,0.02365,"Down"," ",NA,NA,NA
"XLOC_012519","LVA_015058",91.3738,37.4352,-1.28739,0.0184,"Down"," ",NA,NA,NA
"XLOC_000254","LVA_000297",152.636,62.863,-1.27981,0.00355,"Down"," ",NA,NA,NA
"XLOC_013904","LVA_016797",98.4386,40.5492,-1.27955,0.01595,"Down"," ",NA,NA,NA
"XLOC_014245","LVA_017229",12.8099,5.31214,-1.2699,0.00605,"Down"," ",NA,NA,NA
"XLOC_007458","LVA_008830",5.21951,2.16579,-1.26902,0.00425,"Down"," ",NA,NA,NA
"XLOC_001163","LVA_001363",18.9543,45.6586,1.26836,0.0126,"Up"," ",NA,NA,NA
"XLOC_000360","LVA_000419",5.47771,2.29515,-1.25498,0.01275,"Down"," ",NA,NA,NA
"XLOC_015385","LVA_018656",8.93917,21.245,1.24891,0.01895,"Up"," ",NA,NA,NA
"XLOC_011879","LVA_014239",11.8461,4.98595,-1.24847,0.005,"Down"," ",NA,NA,NA
"XLOC_007758","LVA_009174",5.65782,2.40057,-1.23687,0.0039,"Down"," ",NA,NA,NA
"XLOC_008443","LVA_009993",438.196,186.815,-1.22997,0.00865,"Down"," ",NA,NA,NA
"XLOC_015691","LVA_019031",8.88194,3.79202,-1.22791,0.02365,"Down"," ",NA,NA,NA
"XLOC_000189","LVA_000205",5.87746,2.51044,-1.22725,0.027,"Down"," ",NA,NA,NA
"XLOC_000250","LVA_000294",35.3008,15.1379,-1.22154,0.0219,"Down"," ",NA,NA,NA
"XLOC_017385","LVA_021234",62.1584,144.207,1.21412,0.0041,"Up"," ",NA,NA,NA
"XLOC_008176","LVA_009679",4.72281,2.04467,-1.20778,0.04825,"Down"," ",NA,NA,NA
"XLOC_002380","LVA_002740",12.6487,5.48672,-1.20498,0.0124,"Down"," ",NA,NA,NA
"XLOC_014684","LVA_017771",3.60177,8.30184,1.20472,0.0372,"Up"," ",NA,NA,NA
"XLOC_005042","LVA_005872",16.1466,7.02951,-1.19973,0.01455,"Down"," ",NA,NA,NA
"XLOC_004110","LVA_004772",22.7344,52.212,1.1995,0.0306,"Up"," ",NA,NA,NA
"XLOC_010143","LVA_012044",6.82685,2.99594,-1.18821,0.00585,"Down"," ",NA,NA,NA
"XLOC_018955","LVA_023243",78.0362,34.2842,-1.1866,0.0082,"Down"," ",NA,NA,NA
"XLOC_011995","LVA_014391",75.9746,33.4653,-1.18285,0.00385,"Down"," ",NA,NA,NA
"XLOC_006915","LVA_008162",185.496,421.009,1.18246,0.01455,"Up"," ",NA,NA,NA
"XLOC_014063","LVA_016995",14.4849,6.38405,-1.182,0.00945,"Down"," ",NA,NA,NA
"XLOC_000939","LVA_001112",6.31902,2.79202,-1.17839,0.01965,"Down"," ",NA,NA,NA
"XLOC_000321","LVA_000370",6.86016,3.0414,-1.17351,0.0051,"Down"," ",NA,NA,NA
"XLOC_020270","LVA_025020",184.109,82.1354,-1.16448,0.00375,"Down"," ",NA,NA,NA
"XLOC_001197","LVA_001401",9.9037,4.44617,-1.1554,0.0062,"Down"," ",NA,NA,NA
"XLOC_005293","LVA_006180",6.99365,3.14145,-1.15462,0.0394,"Down"," ",NA,NA,NA
"XLOC_019725","LVA_024264",179.048,80.5231,-1.15287,0.0042,"Down"," ",NA,NA,NA
"XLOC_009167","LVA_010851",19.816,8.91473,-1.1524,0.0124,"Down"," ",NA,NA,NA
"XLOC_001591","LVA_001829",15.8441,7.13243,-1.15148,0.0412,"Down"," ",NA,NA,NA
"XLOC_002517","LVA_002906",15.298,33.8876,1.14742,0.0104,"Up"," ",NA,NA,NA
"XLOC_021677","LVA_026986",364.656,164.678,-1.14689,0.00605,"Down"," ",NA,NA,NA
"XLOC_000147","LVA_000147",6.74064,3.05076,-1.14372,0.00415,"Down"," ",NA,NA,NA
"XLOC_008122","LVA_009616",3.87841,8.56635,1.14322,0.03155,"Up"," ",NA,NA,NA
"XLOC_020794","LVA_025717",17.4814,38.5946,1.14258,0.00485,"Up"," ",NA,NA,NA
"XLOC_009166","LVA_010850",39.7191,18.0256,-1.13979,0.01275,"Down"," ",NA,NA,NA
"XLOC_013539","LVA_016333",11.5385,5.24674,-1.13696,0.00705,"Down"," ",NA,NA,NA
"XLOC_002015","LVA_002331",77.2946,168.142,1.12124,0.04365,"Up"," ",NA,NA,NA
"XLOC_020041","LVA_024712",52.6835,24.3872,-1.11123,0.0074,"Down"," ",NA,NA,NA
"XLOC_008442","LVA_009992",235.568,109.649,-1.10325,0.0126,"Down"," ",NA,NA,NA
"XLOC_007103","LVA_008382",12.5002,5.82253,-1.10224,0.0081,"Down"," ",NA,NA,NA
"XLOC_010051","LVA_011941",7.30582,3.40336,-1.10209,0.02915,"Down"," ",NA,NA,NA
"XLOC_004173","LVA_004842",5.16969,2.41609,-1.0974,0.019,"Down"," ",NA,NA,NA
"XLOC_021876","LVA_027289",14.3123,6.69277,-1.09658,0.01965,"Down"," ",NA,NA,NA
"XLOC_015197","LVA_018423",5.87624,2.76537,-1.08742,0.0249,"Down"," ",NA,NA,NA
"XLOC_002378","LVA_002738",10.5088,4.94957,-1.08622,0.01695,"Down"," ",NA,NA,NA
"XLOC_013598","LVA_016397",8.79213,4.14231,-1.08578,0.0193,"Down"," ",NA,NA,NA
"XLOC_010027","LVA_011913",37.2123,78.9328,1.08485,0.0126,"Up"," ",NA,NA,NA
"XLOC_011996","LVA_014392",59.1544,27.9068,-1.08387,0.01195,"Down"," ",NA,NA,NA
"XLOC_017225","LVA_021008",6.69163,3.15823,-1.08324,0.03495,"Down"," ",NA,NA,NA
"XLOC_009169","LVA_010853",17.6396,8.34972,-1.07902,0.0155,"Down"," ",NA,NA,NA
"XLOC_013175","LVA_015882",213.314,449.904,1.07664,0.03285,"Up"," ",NA,NA,NA
"XLOC_012491","LVA_015021",47.9621,22.7558,-1.07566,0.00395,"Down"," ",NA,NA,NA
"XLOC_008808","LVA_010437",9.54896,4.53289,-1.07491,0.02495,"Down"," ",NA,NA,NA
"XLOC_003449","LVA_004019",32.1814,67.7805,1.07464,0.00415,"Up"," ",NA,NA,NA
"XLOC_000887","LVA_001051",4.32148,2.05565,-1.07193,0.04745,"Down"," ",NA,NA,NA
"XLOC_009780","LVA_011586",12.7552,26.7919,1.07071,0.01575,"Up"," ",NA,NA,NA
"XLOC_013015","LVA_015682",129.518,62.1006,-1.06047,0.00555,"Down"," ",NA,NA,NA
"XLOC_008440","LVA_009991",262.46,125.992,-1.05876,0.0298,"Down"," ",NA,NA,NA
"XLOC_000985","LVA_001168",12.7436,6.1235,-1.05735,0.01985,"Down"," ",NA,NA,NA
"XLOC_002373","LVA_002733",9.52301,4.57824,-1.05662,0.0334,"Down"," ",NA,NA,NA
"XLOC_001001","LVA_001183",53.6873,25.8474,-1.05456,0.03515,"Down"," ",NA,NA,NA
"XLOC_013283","LVA_016017",8.67633,4.182,-1.05289,0.0428,"Down"," ",NA,NA,NA
